Year,Planet
485,Sun
486,Sun
487,Sun
488,Sun
489,Sun
490,Sun
491,Sun
492,Sun
493,Sun
494,Sun
495,Sun
496,Sun
497,Sun
498,Sun
499,Sun
500,Sun
501,Sun
502,Sun
503,Sun
504,Sun
505,Saturn
506,Saturn
507,Saturn
508,Saturn
509,Saturn
510,Saturn
511,Saturn
512,Saturn
513,Saturn
514,Saturn
515,Saturn
516,Saturn
517,Saturn
518,Saturn
519,Saturn
520,Saturn
521,Saturn
522,Saturn
523,Saturn
524,Saturn
525,Saturn
526,Saturn
527,Saturn
528,Saturn
529,Saturn
530,Saturn
531,Saturn
532,Saturn
533,Saturn
534,Saturn
535,Saturn
536,Saturn
537,Saturn
538,Saturn
539,Saturn
540,Saturn
541,Venus
542,Venus
543,Venus
544,Venus
545,Venus
546,Venus
547,Venus
548,Venus
549,Venus
550,Venus
551,Venus
552,Venus
553,Venus
554,Venus
555,Venus
556,Venus
557,Venus
558,Venus
559,Venus
560,Venus
561,Venus
562,Venus
563,Venus
564,Venus
565,Venus
566,Venus
567,Venus
568,Venus
569,Venus
570,Venus
571,Venus
572,Venus
573,Venus
574,Venus
575,Venus
576,Venus
577,Jupiter
578,Jupiter
579,Jupiter
580,Jupiter
581,Jupiter
582,Jupiter
583,Jupiter
584,Jupiter
585,Jupiter
586,Jupiter
587,Jupiter
588,Jupiter
589,Jupiter
590,Jupiter
591,Jupiter
592,Jupiter
593,Jupiter
594,Jupiter
595,Jupiter
596,Jupiter
597,Jupiter
598,Jupiter
599,Jupiter
600,Jupiter
601,Jupiter
602,Jupiter
603,Jupiter
604,Jupiter
605,Jupiter
606,Jupiter
607,Jupiter
608,Jupiter
609,Jupiter
610,Jupiter
611,Jupiter
612,Jupiter
613,Mercury
614,Mercury
615,Mercury
616,Mercury
617,Mercury
618,Mercury
619,Mercury
620,Mercury
621,Mercury
622,Mercury
623,Mercury
624,Mercury
625,Mercury
626,Mercury
627,Mercury
628,Mercury
629,Mercury
630,Mercury
631,Mercury
632,Mercury
633,Mercury
634,Mercury
635,Mercury
636,Mercury
637,Mercury
638,Mercury
639,Mercury
640,Mercury
641,Mercury
642,Mercury
643,Mercury
644,Mercury
645,Mercury
646,Mercury
647,Mercury
648,Mercury
649,Mars
650,Mars
651,Mars
652,Mars
653,Mars
654,Mars
655,Mars
656,Mars
657,Mars
658,Mars
659,Mars
660,Mars
661,Mars
662,Mars
663,Mars
664,Mars
665,Mars
666,Mars
667,Mars
668,Mars
669,Mars
670,Mars
671,Mars
672,Mars
673,Mars
674,Mars
675,Mars
676,Mars
677,Mars
678,Mars
679,Mars
680,Mars
681,Mars
682,Mars
683,Mars
684,Mars
685,Moon
686,Moon
687,Moon
688,Moon
689,Moon
690,Moon
691,Moon
692,Moon
693,Moon
694,Moon
695,Moon
696,Moon
697,Moon
698,Moon
699,Moon
700,Moon
701,Moon
702,Moon
703,Moon
704,Moon
705,Moon
706,Moon
707,Moon
708,Moon
709,Moon
710,Moon
711,Moon
712,Moon
713,Moon
714,Moon
715,Moon
716,Moon
717,Moon
718,Moon
719,Moon
720,Moon
721,Sun
722,Sun
723,Sun
724,Sun
725,Sun
726,Sun
727,Sun
728,Sun
729,Sun
730,Sun
731,Sun
732,Sun
733,Sun
734,Sun
735,Sun
736,Sun
737,Sun
738,Sun
739,Sun
740,Sun
741,Sun
742,Sun
743,Sun
744,Sun
745,Sun
746,Sun
747,Sun
748,Sun
749,Sun
750,Sun
751,Sun
752,Sun
753,Sun
754,Sun
755,Sun
756,Sun
757,Saturn
758,Saturn
759,Saturn
760,Saturn
761,Saturn
762,Saturn
763,Saturn
764,Saturn
765,Saturn
766,Saturn
767,Saturn
768,Saturn
769,Saturn
770,Saturn
771,Saturn
772,Saturn
773,Saturn
774,Saturn
775,Saturn
776,Saturn
777,Saturn
778,Saturn
779,Saturn
780,Saturn
781,Saturn
782,Saturn
783,Saturn
784,Saturn
785,Saturn
786,Saturn
787,Saturn
788,Saturn
789,Saturn
790,Saturn
791,Saturn
792,Saturn
793,Venus
794,Venus
795,Venus
796,Venus
797,Venus
798,Venus
799,Venus
800,Venus
801,Venus
802,Venus
803,Venus
804,Venus
805,Venus
806,Venus
807,Venus
808,Venus
809,Venus
810,Venus
811,Venus
812,Venus
813,Venus
814,Venus
815,Venus
816,Venus
817,Venus
818,Venus
819,Venus
820,Venus
821,Venus
822,Venus
823,Venus
824,Venus
825,Venus
826,Venus
827,Venus
828,Venus
829,Jupiter
830,Jupiter
831,Jupiter
832,Jupiter
833,Jupiter
834,Jupiter
835,Jupiter
836,Jupiter
837,Jupiter
838,Jupiter
839,Jupiter
840,Jupiter
841,Jupiter
842,Jupiter
843,Jupiter
844,Jupiter
845,Jupiter
846,Jupiter
847,Jupiter
848,Jupiter
849,Jupiter
850,Jupiter
851,Jupiter
852,Jupiter
853,Jupiter
854,Jupiter
855,Jupiter
856,Jupiter
857,Jupiter
858,Jupiter
859,Jupiter
860,Jupiter
861,Jupiter
862,Jupiter
863,Jupiter
864,Jupiter
865,Mercury
866,Mercury
867,Mercury
868,Mercury
869,Mercury
870,Mercury
871,Mercury
872,Mercury
873,Mercury
874,Mercury
875,Mercury
876,Mercury
877,Mercury
878,Mercury
879,Mercury
880,Mercury
881,Mercury
882,Mercury
883,Mercury
884,Mercury
885,Mercury
886,Mercury
887,Mercury
888,Mercury
889,Mercury
890,Mercury
891,Mercury
892,Mercury
893,Mercury
894,Mercury
895,Mercury
896,Mercury
897,Mercury
898,Mercury
899,Mercury
900,Mercury
901,Mars
902,Mars
903,Mars
904,Mars
905,Mars
906,Mars
907,Mars
908,Mars
909,Mars
910,Mars
911,Mars
912,Mars
913,Mars
914,Mars
915,Mars
916,Mars
917,Mars
918,Mars
919,Mars
920,Mars
921,Mars
922,Mars
923,Mars
924,Mars
925,Mars
926,Mars
927,Mars
928,Mars
929,Mars
930,Mars
931,Mars
932,Mars
933,Mars
934,Mars
935,Mars
936,Mars
937,Moon
938,Moon
939,Moon
940,Moon
941,Moon
942,Moon
943,Moon
944,Moon
945,Moon
946,Moon
947,Moon
948,Moon
949,Moon
950,Moon
951,Moon
952,Moon
953,Moon
954,Moon
955,Moon
956,Moon
957,Moon
958,Moon
959,Moon
960,Moon
961,Moon
962,Moon
963,Moon
964,Moon
965,Moon
966,Moon
967,Moon
968,Moon
969,Moon
970,Moon
971,Moon
972,Moon
973,Sun
974,Sun
975,Sun
976,Sun
977,Sun
978,Sun
979,Sun
980,Sun
981,Sun
982,Sun
983,Sun
984,Sun
985,Sun
986,Sun
987,Sun
988,Sun
989,Sun
990,Sun
991,Sun
992,Sun
993,Sun
994,Sun
995,Sun
996,Sun
997,Sun
998,Sun
999,Sun
1000,Sun
1001,Sun
1002,Sun
1003,Sun
1004,Sun
1005,Sun
1006,Sun
1007,Sun
1008,Sun
1009,Saturn
1010,Saturn
1011,Saturn
1012,Saturn
1013,Saturn
1014,Saturn
1015,Saturn
1016,Saturn
1017,Saturn
1018,Saturn
1019,Saturn
1020,Saturn
1021,Saturn
1022,Saturn
1023,Saturn
1024,Saturn
1025,Saturn
1026,Saturn
1027,Saturn
1028,Saturn
1029,Saturn
1030,Saturn
1031,Saturn
1032,Saturn
1033,Saturn
1034,Saturn
1035,Saturn
1036,Saturn
1037,Saturn
1038,Saturn
1039,Saturn
1040,Saturn
1041,Saturn
1042,Saturn
1043,Saturn
1044,Saturn
1045,Venus
1046,Venus
1047,Venus
1048,Venus
1049,Venus
1050,Venus
1051,Venus
1052,Venus
1053,Venus
1054,Venus
1055,Venus
1056,Venus
1057,Venus
1058,Venus
1059,Venus
1060,Venus
1061,Venus
1062,Venus
1063,Venus
1064,Venus
1065,Venus
1066,Venus
1067,Venus
1068,Venus
1069,Venus
1070,Venus
1071,Venus
1072,Venus
1073,Venus
1074,Venus
1075,Venus
1076,Venus
1077,Venus
1078,Venus
1079,Venus
1080,Venus
1081,Jupiter
1082,Jupiter
1083,Jupiter
1084,Jupiter
1085,Jupiter
1086,Jupiter
1087,Jupiter
1088,Jupiter
1089,Jupiter
1090,Jupiter
1091,Jupiter
1092,Jupiter
1093,Jupiter
1094,Jupiter
1095,Jupiter
1096,Jupiter
1097,Jupiter
1098,Jupiter
1099,Jupiter
1100,Jupiter
1101,Jupiter
1102,Jupiter
1103,Jupiter
1104,Jupiter
1105,Jupiter
1106,Jupiter
1107,Jupiter
1108,Jupiter
1109,Jupiter
1110,Jupiter
1111,Jupiter
1112,Jupiter
1113,Jupiter
1114,Jupiter
1115,Jupiter
1116,Jupiter
1117,Mercury
1118,Mercury
1119,Mercury
1120,Mercury
1121,Mercury
1122,Mercury
1123,Mercury
1124,Mercury
1125,Mercury
1126,Mercury
1127,Mercury
1128,Mercury
1129,Mercury
1130,Mercury
1131,Mercury
1132,Mercury
1133,Mercury
1134,Mercury
1135,Mercury
1136,Mercury
1137,Mercury
1138,Mercury
1139,Mercury
1140,Mercury
1141,Mercury
1142,Mercury
1143,Mercury
1144,Mercury
1145,Mercury
1146,Mercury
1147,Mercury
1148,Mercury
1149,Mercury
1150,Mercury
1151,Mercury
1152,Mercury
1153,Mars
1154,Mars
1155,Mars
1156,Mars
1157,Mars
1158,Mars
1159,Mars
1160,Mars
1161,Mars
1162,Mars
1163,Mars
1164,Mars
1165,Mars
1166,Mars
1167,Mars
1168,Mars
1169,Mars
1170,Mars
1171,Mars
1172,Mars
1173,Mars
1174,Mars
1175,Mars
1176,Mars
1177,Mars
1178,Mars
1179,Mars
1180,Mars
1181,Mars
1182,Mars
1183,Mars
1184,Mars
1185,Mars
1186,Mars
1187,Mars
1188,Mars
1189,Moon
1190,Moon
1191,Moon
1192,Moon
1193,Moon
1194,Moon
1195,Moon
1196,Moon
1197,Moon
1198,Moon
1199,Moon
1200,Moon
1201,Moon
1202,Moon
1203,Moon
1204,Moon
1205,Moon
1206,Moon
1207,Moon
1208,Moon
1209,Moon
1210,Moon
1211,Moon
1212,Moon
1213,Moon
1214,Moon
1215,Moon
1216,Moon
1217,Moon
1218,Moon
1219,Moon
1220,Moon
1221,Moon
1222,Moon
1223,Moon
1224,Moon
1225,Sun
1226,Sun
1227,Sun
1228,Sun
1229,Sun
1230,Sun
1231,Sun
1232,Sun
1233,Sun
1234,Sun
1235,Sun
1236,Sun
1237,Sun
1238,Sun
1239,Sun
1240,Sun
1241,Sun
1242,Sun
1243,Sun
1244,Sun
1245,Sun
1246,Sun
1247,Sun
1248,Sun
1249,Sun
1250,Sun
1251,Sun
1252,Sun
1253,Sun
1254,Sun
1255,Sun
1256,Sun
1257,Sun
1258,Sun
1259,Sun
1260,Sun
1261,Saturn
1262,Saturn
1263,Saturn
1264,Saturn
1265,Saturn
1266,Saturn
1267,Saturn
1268,Saturn
1269,Saturn
1270,Saturn
1271,Saturn
1272,Saturn
1273,Saturn
1274,Saturn
1275,Saturn
1276,Saturn
1277,Saturn
1278,Saturn
1279,Saturn
1280,Saturn
1281,Saturn
1282,Saturn
1283,Saturn
1284,Saturn
1285,Saturn
1286,Saturn
1287,Saturn
1288,Saturn
1289,Saturn
1290,Saturn
1291,Saturn
1292,Saturn
1293,Saturn
1294,Saturn
1295,Saturn
1296,Saturn
1297,Venus
1298,Venus
1299,Venus
1300,Venus
1301,Venus
1302,Venus
1303,Venus
1304,Venus
1305,Venus
1306,Venus
1307,Venus
1308,Venus
1309,Venus
1310,Venus
1311,Venus
1312,Venus
1313,Venus
1314,Venus
1315,Venus
1316,Venus
1317,Venus
1318,Venus
1319,Venus
1320,Venus
1321,Venus
1322,Venus
1323,Venus
1324,Venus
1325,Venus
1326,Venus
1327,Venus
1328,Venus
1329,Venus
1330,Venus
1331,Venus
1332,Venus
1333,Jupiter
1334,Jupiter
1335,Jupiter
1336,Jupiter
1337,Jupiter
1338,Jupiter
